NUMELEVE,FRAN4,CPBIS,CE1BIS,CE2BIS,CM1BIS,CM2BIS,MATH4,ECOLE2,CLASSE2,COURS2,RDBLT2,FRAN3,MATH3,MOIS,ANNEE,FRAT,PREEL,CSPP,CSPM,FILLE,ANCENS2,NBEL2,NBCOURS2,arti,sup,inter,empl,ouvr,autr,cmult,cmultnomb,mfran3,mmath3,msup,mouvr,stdfran3,stdmath3
701,-1.038447181,1,0,0,0,0,-0.846601325,2,2,1,0,1.139789584,0.368532557,10,91,3,3,6,4,1,21,15,5,0,0,0,0,1,0,1,1,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
702,0.050815228,1,0,0,0,0,-0.904657492,2,2,1,0,-0.2517136,-0.951152431,11,91,2,3,4,7,0,21,15,5,0,0,1,0,0,0,1,1,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
703,-1.325580754,1,0,0,0,0,-0.904657492,3,3,1,0,0.972953395,0.673027297,10,91,2,,1,7,0,25,25,2,0,0,0,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
704,0.248997641,1,0,0,0,0,0.064100833,3,3,1,0,1.139789584,1.595472557,4,91,1,,7,6,1,25,25,2,0,0,0,0,0,1,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
705,-1.325580754,1,0,0,0,0,-0.628770825,3,3,1,0,-2.002983839,-1.103036982,11,91,2,,4,7,0,25,25,2,0,0,1,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
706,1.140626124,1,0,0,0,0,0.699278814,3,3,1,0,1.593995051,0.844975771,5,91,2,,4,4,1,25,25,2,0,0,1,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
707,-0.914240336,1,0,0,0,0,-1.20330629,3,3,1,0,-1.015944206,-1.103036982,12,91,2,,6,7,0,25,25,2,0,0,0,0,1,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
708,-0.254804726,1,0,0,0,0,-1.815094487,3,3,1,0,1.384460854,-0.538383601,2,91,2,,2,7,1,25,25,2,1,0,0,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
709,0.961023906,1,0,0,0,0,-1.469691158,3,3,1,0,-0.720806202,-1.55041129,8,91,3,,2,4,1,25,25,2,1,0,0,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
710,-0.359367414,1,0,0,0,0,-1.31124829,3,3,1,0,0.586298574,-0.165056588,12,91,1,,3,2,0,25,25,2,0,1,0,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
711,-0.49123778,1,0,0,0,0,-1.080458772,3,3,1,0,0.82957423,-0.538383601,12,91,2,,5,5,1,25,25,2,0,0,0,1,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
712,0.504021904,1,0,0,0,0,-1.005747376,3,3,1,0,-0.575186802,0.933697036,4,91,3,,4,5,1,25,25,2,0,0,1,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
713,-0.681317441,1,0,0,0,0,-1.469691158,3,3,1,0,-0.720806202,-0.64059382,12,91,2,,3,4,1,25,25,2,0,1,0,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
714,-0.681317441,1,0,0,0,0,-0.308129977,3,3,1,0,0.236290122,0.018672692,11,91,2,,5,4,1,25,25,2,0,0,0,1,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
716,-0.49123778,1,0,0,0,0,0.147485079,3,3,1,0,0.586298574,0.489371146,7,91,2,,6,6,0,25,25,2,0,0,0,0,1,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
717,-0.914240336,1,0,0,0,0,-0.528522051,3,3,1,0,-0.093774298,1.027351892,2,91,3,,6,6,0,25,25,2,0,0,0,0,1,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
718,-0.681317441,1,0,0,0,0,0.270806258,4,7,1,0,0.035592065,0.527626472,8,91,1,3,3,4,1,28,22,3,0,1,0,0,0,0,1,1,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
719,1.140626124,1,0,0,0,0,2.464768617,4,7,1,0,-0.093774298,0.305288083,5,91,1,3,4,4,0,28,22,3,0,0,1,0,0,0,1,1,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
720,0.050815228,1,0,0,0,0,-0.181859931,4,7,1,0,0.557570542,-0.131073776,11,91,2,3,2,4,1,28,22,3,1,0,0,0,0,0,1,1,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
721,-0.04139742,1,0,0,0,0,0.699278814,4,7,1,0,-0.093774298,0.336743364,3,91,3,3,4,8,1,28,22,3,0,0,1,0,0,0,1,1,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
722,1.330100584,1,0,0,0,0,0.416834169,4,7,1,0,0.035592065,0.844975771,8,91,1,3,2,5,1,28,22,3,1,0,0,0,0,0,1,1,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
723,0.050815228,1,0,0,0,0,-0.528522051,4,7,1,0,0.236290122,0.155599146,9,91,1,3,6,5,1,28,22,3,0,0,0,0,1,0,1,1,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
724,1.733950709,1,0,0,0,0,0.699278814,4,7,1,0,-0.2517136,0.933697036,11,91,1,3,3,8,1,28,22,3,0,1,0,0,0,0,1,1,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
725,0.639194893,1,0,0,0,0,1.247222453,4,7,1,0,-0.889146801,0.527626472,10,91,4,3,4,5,0,28,22,3,0,0,1,0,0,0,1,1,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
726,0.050815228,1,0,0,0,0,0.270806258,5,8,1,0,-1.808255053,0.305288083,8,91,1,3,5,8,0,13,23,2,0,0,0,1,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
727,0.361372615,1,0,0,0,0,1.060347653,5,8,1,0,0.414186542,1.376386773,2,91,1,3,4,7,1,13,23,2,0,0,1,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
728,0.248997641,1,0,0,0,0,0.699278814,5,8,1,0,-0.2517136,1.277349043,12,91,1,3,3,3,0,13,23,2,0,1,0,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
729,0.115003509,1,0,0,0,0,0.899046517,5,8,1,0,0.035592065,2.130644437,9,91,2,3,4,4,0,13,23,2,0,0,1,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
730,-0.591450315,1,0,0,0,0,0.416834169,5,8,1,0,0.035592065,1.376386773,2,91,2,3,3,8,0,13,23,2,0,1,0,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
731,1.626153552,1,0,0,0,0,-0.181859931,5,8,1,0,-0.2517136,1.595472557,12,91,3,3,5,6,1,13,23,2,0,0,0,1,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
732,2.165333726,1,0,0,0,0,0.899046517,5,8,1,0,0.972953395,1.376386773,2,91,1,3,4,4,1,13,23,2,0,0,1,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
733,0.754370247,1,0,0,0,0,0.899046517,5,8,1,0,0.82957423,1.839049453,6,91,1,3,6,3,1,13,23,2,0,0,0,0,1,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
734,0.248997641,1,0,0,0,0,0.416834169,5,8,1,0,-0.575186802,0.844975771,1,91,1,3,5,8,0,13,23,2,0,0,0,1,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
735,0.754370247,1,0,0,0,0,0.270806258,5,8,1,0,-1.467252303,1.027351892,4,91,1,3,1,5,0,13,23,2,0,0,0,0,0,0,1,0,-0.009005236,0.042170221,0.080808081,0.272727273,0.990858296,1.003498497
